/*Tiempo de exposicion:	0.24	0.3	0.42	0.6	0.9	1.2	1.5	1.8	2.1	2.4	3	4.2	6	9	12	15	18
/*Numero de Scans	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
/*Archivo:	barridoP_0050.OMAIII	barridoP_0051.OMAIII	barridoP_0052.OMAIII	barridoP_0053.OMAIII	barridoP_0054.OMAIII	barridoP_0055.OMAIII	barridoP_0056.OMAIII	barridoP_0057.OMAIII	barridoP_0058.OMAIII	barridoP_0059.OMAIII	barridoP_0060.OMAIII	barridoP_0061.OMAIII	barridoP_0062.OMAIII	barridoP_0063.OMAIII	barridoP_0064.OMAIII	barridoP_0065.OMAIII	barridoP_0066.OMAIII
76	89.0	93.0	101.0	110.0	130.0	148.0	167.0	185.0	204.0	222.0	259.0	332.0	443.0	624.0	805.0	983.0	1161.0
77	86.0	90.0	97.0	108.0	126.0	145.0	162.0	181.0	198.0	216.0	252.0	324.0	430.0	607.0	783.0	958.0	1128.0
78	82.0	87.0	94.0	106.0	124.0	143.0	163.0	182.0	201.0	221.0	259.0	334.0	446.0	632.0	817.0	1001.0	1183.0
79	78.0	82.0	90.0	102.0	119.0	139.0	158.0	176.0	195.0	214.0	252.0	325.0	437.0	621.0	804.0	985.0	1164.0
80	91.0	95.0	102.0	113.0	132.0	151.0	169.0	187.0	205.0	224.0	261.0	333.0	443.0	623.0	802.0	980.0	1156.0
81	87.0	90.0	99.0	109.0	127.0	145.0	164.0	182.0	200.0	218.0	254.0	327.0	435.0	615.0	794.0	970.0	1145.0
82	73.0	77.0	85.0	96.0	116.0	134.0	153.0	172.0	192.0	209.0	247.0	324.0	436.0	621.0	806.0	988.0	1170.0
83	82.0	85.0	92.0	104.0	123.0	143.0	162.0	181.0	200.0	219.0	257.0	333.0	446.0	634.0	820.0	1004.0	1185.0
84	95.0	100.0	107.0	118.0	136.0	156.0	175.0	193.0	212.0	231.0	269.0	344.0	455.0	642.0	824.0	1006.0	1187.0
85	83.0	87.0	95.0	104.0	124.0	142.0	161.0	179.0	197.0	217.0	254.0	327.0	437.0	619.0	800.0	977.0	1156.0
86	80.0	84.0	91.0	101.0	120.0	139.0	157.0	174.0	194.0	211.0	248.0	321.0	429.0	608.0	785.0	960.0	1134.0
87	83.0	87.0	94.0	107.0	126.0	145.0	166.0	184.0	205.0	224.0	263.0	340.0	457.0	650.0	841.0	1029.0	1216.0
88	88.0	92.0	99.0	111.0	129.0	147.0	165.0	183.0	202.0	221.0	256.0	329.0	439.0	619.0	799.0	976.0	1153.0
89	85.0	89.0	97.0	108.0	128.0	146.0	165.0	184.0	202.0	223.0	260.0	336.0	449.0	633.0	818.0	1013.0	1181.0
90	82.0	85.0	93.0	104.0	122.0	140.0	158.0	178.0	195.0	214.0	250.0	324.0	432.0	612.0	791.0	968.0	1141.0
91	78.0	81.0	89.0	99.0	117.0	136.0	154.0	172.0	191.0	208.0	245.0	317.0	425.0	604.0	780.0	956.0	1129.0
92	89.0	93.0	99.0	111.0	130.0	149.0	168.0	187.0	205.0	225.0	262.0	339.0	451.0	635.0	821.0	1003.0	1185.0
93	88.0	92.0	99.0	111.0	129.0	147.0	167.0	185.0	203.0	224.0	259.0	333.0	444.0	626.0	807.0	986.0	1164.0
94	75.0	80.0	88.0	100.0	119.0	140.0	159.0	179.0	199.0	220.0	259.0	339.0	458.0	654.0	849.0	1041.0	1234.0
95	80.0	84.0	92.0	102.0	123.0	142.0	162.0	180.0	200.0	219.0	257.0	335.0	450.0	640.0	829.0	1015.0	1199.0
96	91.0	96.0	101.0	112.0	133.0	151.0	169.0	186.0	206.0	223.0	261.0	334.0	441.0	624.0	803.0	980.0	1155.0
97	88.0	93.0	100.0	111.0	131.0	150.0	170.0	188.0	208.0	227.0	266.0	342.0	458.0	647.0	835.0	1020.0	1205.0
98	76.0	80.0	87.0	99.0	115.0	135.0	153.0	170.0	188.0	207.0	244.0	317.0	426.0	606.0	785.0	958.0	1131.0
99	79.0	84.0	91.0	102.0	122.0	142.0	161.0	180.0	199.0	217.0	257.0	333.0	447.0	635.0	822.0	1007.0	1191.0
100	92.0	97.0	105.0	117.0	138.0	159.0	178.0	199.0	219.0	240.0	281.0	361.0	483.0	683.0	882.0	1077.0	1273.0
101	85.0	88.0	96.0	107.0	126.0	144.0	162.0	181.0	199.0	218.0	255.0	328.0	437.0	618.0	799.0	976.0	1153.0
102	79.0	83.0	91.0	103.0	123.0	144.0	166.0	187.0	207.0	226.0	266.0	347.0	475.0	678.0	869.0	1069.0	1275.0
103	81.0	87.0	93.0	104.0	124.0	141.0	159.0	177.0	195.0	213.0	250.0	322.0	431.0	610.0	789.0	965.0	1140.0
104	97.0	101.0	109.0	119.0	138.0	156.0	175.0	192.0	211.0	228.0	266.0	339.0	446.0	626.0	804.0	981.0	1155.0
105	89.0	93.0	100.0	110.0	129.0	148.0	166.0	184.0	203.0	221.0	257.0	330.0	439.0	618.0	797.0	973.0	1149.0
106	79.0	82.0	89.0	100.0	118.0	137.0	154.0	172.0	189.0	208.0	243.0	315.0	421.0	597.0	771.0	945.0	1117.0
107	80.0	85.0	92.0	103.0	123.0	143.0	161.0	180.0	199.0	219.0	257.0	333.0	447.0	635.0	822.0	1007.0	1190.0
108	90.0	95.0	101.0	112.0	130.0	148.0	165.0	184.0	202.0	219.0	256.0	326.0	432.0	607.0	782.0	955.0	1125.0
109	87.0	90.0	98.0	108.0	126.0	145.0	162.0	181.0	200.0	218.0	253.0	325.0	434.0	613.0	790.0	966.0	1142.0
110	75.0	78.0	85.0	95.0	113.0	130.0	148.0	166.0	183.0	202.0	236.0	305.0	409.0	582.0	754.0	923.0	1091.0
111	79.0	82.0	90.0	101.0	119.0	138.0	156.0	175.0	193.0	211.0	248.0	321.0	432.0	612.0	791.0	968.0	1146.0
112	91.0	94.0	103.0	113.0	132.0	151.0	170.0	187.0	207.0	225.0	261.0	338.0	447.0	630.0	811.0	992.0	1171.0
113	91.0	93.0	101.0	112.0	131.0	150.0	169.0	187.0	206.0	225.0	263.0	339.0	449.0	635.0	818.0	998.0	1180.0
114	74.0	79.0	85.0	96.0	116.0	134.0	152.0	172.0	189.0	209.0	246.0	322.0	433.0	618.0	800.0	983.0	1164.0
115	76.0	79.0	86.0	97.0	115.0	134.0	152.0	169.0	188.0	207.0	244.0	316.0	425.0	605.0	782.0	958.0	1133.0
116	93.0	97.0	104.0	115.0	132.0	152.0	170.0	187.0	205.0	224.0	260.0	332.0	439.0	617.0	795.0	969.0	1143.0
117	93.0	96.0	103.0	115.0	133.0	152.0	171.0	190.0	208.0	227.0	264.0	339.0	450.0	634.0	816.0	997.0	1178.0
