%Comentarios:
%Largo de la muestra: 13.65
%Ancho de la muestra: 4.3
%Espesor de la muestra: 0.45
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: USB TEMP AI
%		 Canal: 0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
118.926000118	20.4263095856	19.807220459	19.8368854523	-0.748115301132	18.0808460712
119.96600008	20.4448432922	19.7877559662	19.8387413025	-0.748089361191	18.1259739399
121.000999928	20.4263095856	19.8025894165	19.8359622955	-0.748073005676	18.1011462212
122.036999941	20.4142665863	19.7942466736	19.8378162384	-0.748103094101	18.1054401398
123.079999924	20.4253845215	19.8025894165	19.8257656097	-0.748103904724	18.0966258049
124.114000082	20.4012947083	19.8081512451	19.8276176453	-0.748048830032	18.1196188927
125.154000044	20.4059257507	19.8174209595	19.8341083527	-0.748090457916	18.0909717083
126.194000006	20.4207515717	19.8118572235	19.8359622955	-0.748092651367	18.1144189835
127.237999916	20.423532486	19.807220459	19.8155651093	-0.748115873337	18.0750000477
128.279000044	20.423532486	19.7821941376	19.8127861023	-0.748069429398	18.124256134
129.319999933	20.4105606079	19.8155651093	19.8109302521	-0.748079872131	18.0966258049
130.360000134	20.4170455933	19.8007335663	19.843378067	-0.748088932037	18.105199337
131.401000023	20.4012756348	19.7710514069	19.8034954071	-0.748028087616	18.122600317
132.442000151	20.391084671	19.7645606995	19.7895927429	-0.748124504089	18.0763804913
133.48300004	20.3929405212	19.7664165497	19.8211078644	-0.748056936264	18.1124126911
134.523999929	20.3929405212	19.7895927429	19.8294715881	-0.748057603836	18.1119322777
135.562000036	20.3985137939	19.7960987091	19.816493988	-0.748055696487	18.1200039387
136.598999977	20.4022216797	19.7747764587	19.8303966522	-0.748162555695	18.0510318279
